geo,text,user,user_location
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",AmbiConstructiv,"Barcelona, Tabarnia, España"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",cbae237c895543b,suroeste 
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",JuanPgurpegui,"Gijón, España"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",jmnavar63,"Sabadell, España"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",flmargarita,🇻🇪 🇪🇸 
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",cncano,Madrid y Gijón. España
,RT @ReginadelC: Y pues na’a que ya he llegao a Barcelona. Y que aquí todos se llaman José algo. Le he preguntao a José el del aeropuerto qu…,serge2377,"Gustavo A. Madero, CDMX"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",Nicods5,Valencia
,RT @diarioelvistazo: Luis Marcano anunció la reactivación de importaciones y exportaciones desde el Aeropuerto Internacional de Barcelona…,jjvelasquez2205,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",MariaJe_AL,"Madrid, España"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",MartaGa59929294,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",agartha301,
,"RT @BAERVenezuela: #8Jun | Día a día el Aeropuerto Inter. GD José Antonio Anzoátegui de Barcelona, garantiza a los pasajeros servicios de a…",Sherab_Gyatso,Mérida 
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",coronelbill68,
,"RT @BAERVenezuela: #8Jun | Bien sea por negocios o diversión, cuentas con el Aeropuerto Internacional GD José Antonio Anzoátegui de Barcelo…",Sherab_Gyatso,Mérida 
,Luis Marcano anunció la reactivación de importaciones y exportaciones desde el Aeropuerto Internacional de Barcelon… https://t.co/OyWvr1G8A1,diarioelvistazo,"El Tigre, Anzoátegui"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",amedinac96,"Albacete, España"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",Kungefu,"Madrid, Comunidad de Madrid"
,"RT @BAERVenezuela: #8Jun | Bien sea por negocios o diversión, cuentas con el Aeropuerto Internacional GD José Antonio Anzoátegui de Barcelo…",Luis23464216,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",Elena85461548,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",Elena11885938,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",Joseantoniopunt,La Línea de la Concepción
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",lvg_91,
,"RT @BAERVenezuela: #8Jun | Bien sea por negocios o diversión, cuentas con el Aeropuerto Internacional GD José Antonio Anzoátegui de Barcelo…",tengofe368,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",elPite_,Aquí y allá
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",NataliaAfonso10,Madrid/Verín/A Guarda. España
,"RT @BAERVenezuela: #8Jun | Bien sea por negocios o diversión, cuentas con el Aeropuerto Internacional GD José Antonio Anzoátegui de Barcelo…",betzay98,"Los Teques, Venezuela"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",tamaran85,
,"RT @BAERVenezuela: #8Jun | Bien sea por negocios o diversión, cuentas con el Aeropuerto Internacional GD José Antonio Anzoátegui de Barcelo…",LuisAugustoMoya,
,"RT @BAERVenezuela: #8Jun | Bien sea por negocios o diversión, cuentas con el Aeropuerto Internacional GD José Antonio Anzoátegui de Barcelo…",pablito1457,
,"RT @BAERVenezuela: #8Jun | Bien sea por negocios o diversión, cuentas con el Aeropuerto Internacional GD José Antonio Anzoátegui de Barcelo…",Aeropuertobna,"Anzoátegui, Venezuela"
,"#8Jun | Bien sea por negocios o diversión, cuentas con el Aeropuerto Internacional GD José Antonio Anzoátegui de Ba… https://t.co/yTiy9OwBSi",BAERVenezuela,"Caracas, Venezuela"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",sergioesp261,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",Viriato58374947,
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",4Postes,"Ávila, España"
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",jctorrescobos,España
,"RT @CCivicaCatalana: El Aeropuerto de Murcia no puede llamarse De la Cierva, científico aeronáutico inventor del autogiro pero el Estadio o…",NACHOTECNOLOGIA,España
