geo,text,user,user_location
,mi abuelita estaba sola en el aeropuerto de madrid y perdio el vuelo porque se confundio con la hora en horario 24 hrs 🥹,SbstnGmzSlv,Colombia/Antioquia/Medellin
,RT @gabarain_marisa: EL PERRO LUNO CONTINÚA RETENIDO INJUSTIFICADAMENTE EN UNA PERRERA PÚBLICA https://t.co/2tb4bDrjnQ vía @ChangeorgAR,gabarain_marisa,"Mar del Plata, Argentina"
,Hace 4 años estaba en el aeropuerto de Madrid de camino a Italia viviendo mi mejor vida y hoy estoy en Guatemala comiendo mierda 😁,isamazariegoss,Guatemala
,@hyuningff omg sjndhksf me refería al aeropuerto de madrid pero ojalá donde tu vives también jessie 🤩,foxeology,"she/her, 2기 ♡ 🔕"
,Impresentable la respuesta del servicio al cliente de @lufthansa cancelan una reserva que se realizó desde el mes d… https://t.co/UdR3thJ1R6,andreavsechavez,
,"RT @PDI_CHILE: Brigada de Antinarcóticos Aeropuerto incautó en flagrancia más de 6 kilos de clorhidrato de cocaína, y detuvo a dos mujeres…",lopito2101,
,"RT @EnJarras: ""De los creadores del aeropuerto sin aviones llega el centro de salud sin médicos"": críticas ante un nuevo protocolo para los…",LadyMountana,
,Que en el aeropuerto de madrid hay una sala de rezar????? Y nadie me lo dijo???? Mira que sois de verdaddddd,YaatuuK_D,"Santa Cruz de Tenerife, España"
,"RT @isaprospe: ""De los creadores del aeropuerto sin aviones llega el centro de salud sin médicos"": críticas ante un nuevo protocolo para lo…",cm_noe,"Madrid, Comunidad de Madrid"
,"RT @isaprospe: ""De los creadores del aeropuerto sin aviones llega el centro de salud sin médicos"": críticas ante un nuevo protocolo para lo…",DaniMarvl,Mad
,@Iberia nos canceló el vuelo y llevamos mas de 3 horas esperando que nos lleven a un hotel… cuanto mas debemos espe… https://t.co/UIen2gawmw,DiannOjeda,
,"""De los creadores del aeropuerto sin aviones llega el centro de salud sin médicos"": críticas ante un nuevo protocol… https://t.co/y3798fJBxO",isaprospe,
,"@TheCarolos NOOOOOOOO, solo necesitaba que estuvieras en el aeropuerto de Madrid el viernes 💔",mariafmolano,
,"Literalmente botada en el aeropuerto de Madrid, me@cambiaron el vuelo para mñn a las 7:30",camiladan,Chile
,@ElFaroSER @maratorres @La_SER El 20 de agosto de 2008 el vuelo de Spanair regular de pasajeros entre Madrid-Baraja… https://t.co/xoERFQP36d,mairabelf,
,RT @Infoveritas_: ⚠️⛪️ Vuelve el bulo que afirma que @aena ha trasladado la capilla católica de la T4 del Aeropuerto de Madrid al semisótan…,bieitorubido,
,"RT @bolsamania: Los pasajeros del transporte aéreo denuncian la pérdida de vuelos, retrasos y aglomeraciones que ha sufrido la terminal 4 &gt;…",huertaff,
,"RT @rosamariaartal: El problema añadido es que Madrid sí tenía médicos previamente
...
""De los creadores del aeropuerto sin aviones llega e…",Vitoquive,A Coruña - Galicia - España
,"Los pasajeros del transporte aéreo denuncian la pérdida de vuelos, retrasos y aglomeraciones que ha sufrido la term… https://t.co/W1ieBjbFVX",bolsamania,Madrid
,"""De los creadores del aeropuerto sin aviones llega el centro de salud sin médicos"": críticas ante un nuevo protocol… https://t.co/LNdU4ZI8PZ",Cromatogras,"Madrid, Comunidad de Madrid"
,"RT @javierpadillab: De los creadores del aeropuerto sin aviones, ahora llega el centro de salud sin médicos.

Protocolo nuevo de la Comunid…",cinderellamf3,
,"RT @notoriousaguila: Hola!! Se me perdió mi billetera en el Aeropuerto de Santiago el día de hoy. Si la encuentra, le estaría muy agradecid…",eva_madrid_aris,Chile
