geo,text,user,user_location
,RT @Rob_Kimbell: Irish airline Ryanair to connect Newcastle upon Tyne with Barcelona in Spain and Cork in Ireland — offering city-break opp…,16Suse,
,Bus from Bilbao Airport to San Sebastian https://t.co/GujjeJvLfo,_Barcelona__,
,"@DrHaroldNews Whizzed through Barcelona Airport, security took 60seconds at 8pm on a Thursday night",WillyWonka079,
,RT @Rob_Kimbell: Irish airline Ryanair to connect Newcastle upon Tyne with Barcelona in Spain and Cork in Ireland — offering city-break opp…,annh_me,Seaside 
,Is there a single person left in Dublin or is every plane out of the airport being sent to Barcelona?? https://t.co/GGmkxP9dJD,poflaherty98,
,RT @Rob_Kimbell: Irish airline Ryanair to connect Newcastle upon Tyne with Barcelona in Spain and Cork in Ireland — offering city-break opp…,PascoeMarice,Cornwall UK 
"{'type': 'Point', 'coordinates': [41.4105, 2.18763]}",Homeward-bound (with bunny) #littletraveller #airport #catalunya #barcelona #catalonia #travelling @ Barcelona Airp… https://t.co/QG4pfT1cSl,pudjus,"London, England"
,Irish airline Ryanair to connect Newcastle upon Tyne with Barcelona in Spain and Cork in Ireland — offering city-br… https://t.co/xLpxg3bFxD,Rob_Kimbell,United Kingdom
,"Flight U28578 from Barcelona to London
https://t.co/MUUYaGhj27
Still going strong over the NOISE SEWER
⁦… https://t.co/AKIngP9l3L",JenkinsJacky,
,Flight Number #BA482 From #LHR (London Heathrow) to #BCN (Barcelona Airport) has departed,LHRDepartureBot,
,Taxis from Barcelona Airport to the City https://t.co/wQjYBXBFhW,_Barcelona__,
,"Hi @lufthansa I have been trying to get in contact for missing baggage in Barcelona from Dublin airport.
Arrived ye… https://t.co/YVvKBYqjSq",BantasaurasRex,"Skerries, Dublin, Ireland"
,"RT @SimonDishman: .@LondonCityAir surpasses 1m passengers after bumper May, as the #airport is set to add 9 new routes, including #Thessalo…",RealJohnWynne,London UK
,".@LondonCityAir surpasses 1m passengers after bumper May, as the #airport is set to add 9 new routes, including… https://t.co/SueLENHYMU",SimonDishman,"London, England"
,"RT @shakirastuff_: Shakira, Milan, and Sasha at the airport in Barcelona with security on Sunday, June 5.",Josuerulz,Chicago IL
,Flight Number #BA486 From #LHR (London Heathrow) to #BCN (Barcelona Airport) has departed,LHRDepartureBot,
,RT @neil_dickinson: Sincere thanks to all the #BrexitReality voters. At Barcelona airport and half an hour into the passport queue we’ve st…,John_Tuck,"England, United Kingdom"
,"My flight number was TP1315, I was meant to leave Manchester Airport and get a connecting flight in Lisbon to Barce… https://t.co/6B9t4DZgb8",broganjames97,
,Flight Number #BA480 From #LHR (London Heathrow) to #BCN (Barcelona Airport) has departed,LHRDepartureBot,
,"@MrMKimber Hola, just walked or rather waltzed past you all ;)) But this morning was worse according to… https://t.co/nnSv6sDUD4",JVLazarus,CPH • BCN • En el Camino
,Attention Ryanair passengers! Were you on the flight FR9815 on 8th June 2022 from Barcelona International Airport t… https://t.co/6Wy6UhsAhy,Flight_Patrol,
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,Steven2424mm,
,#AviationNews #Ryanair Ryanair Add New Flights to Barcelona and Cork from Newcastle International Airport… https://t.co/jclIDdzghZ,RusTourismNews,
,"RT @jetfury: Once again #Brexit ruins supreme 
No one to stamp our Carnet at Barcelona Airport 
So we goto hope the Guys at Bristol will un…",vinylfan83,
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,lvaroLuisGueva1,Perú
,Sincere thanks to all the #BrexitReality voters. At Barcelona airport and half an hour into the passport queue we’v… https://t.co/P3J4APM1eC,neil_dickinson,"Bucks, UK"
,I thought I had avoided all the chaos at Heathrow just to get to Barcelona Airport and find myself standing in the… https://t.co/Jrqcz64DE4,edsoncaldas,"London, England"
,"@donnersteve7 We’re not going abroad fuck that, I’d lose my head if we were at the airport &amp; it got cancelled. It’s… https://t.co/Iu397HASQn",lincslass86,"Work, footy or home ❤️"
,not me wandering around the Barcelona airport for 20 min wondering where passport control is only to realise I flew within the EU lol,Ecmoy,london
,Please pray people miss this flight to Barcelona otherwise I’m stuck in this small ass Florence airport,navarro_Danielj,"London, paris, maybe tokyo"
,RT @paulbyrne1993: @KLM I would normally have nothing bad to say about your airline and your staff. Missed our connection flight just now f…,JessieRoche1,
,"bag check in @ Manchester airport: 2+ hours 

security AND bag check-in @ Barcelona airport : 15 minutes",izzythall,
,@aerlingus I just got off your flight from Dublin to Barcelona. One of my checked bags is missing. I can't find any… https://t.co/iNswbNbiVX,DennisErdmanMD,"South Bend, IN"
,Hey @manairport I've just breezed through check-in and security at Barcelona airport in twenty minutes with friendl… https://t.co/urT6zGc5s8,Scottyboy0902,"Ancoats, Manchester"
,@b3n_f_ Probs Barcelona airport then train to salou,SgCoasters,
,"RT @jetfury: Once again #Brexit ruins supreme 
No one to stamp our Carnet at Barcelona Airport 
So we goto hope the Guys at Bristol will un…",bristolbluegas,Bristol
,RT @paulbyrne1993: @KLM I would normally have nothing bad to say about your airline and your staff. Missed our connection flight just now f…,Flight_Refunds,"London, UK"
,@KLM I would normally have nothing bad to say about your airline and your staff. Missed our connection flight just… https://t.co/WIBJzMOvkd,paulbyrne1993,Dublin Ireland 
,Ryanair DELAYED again! Were you on flight FR9815 on 8th June 2022 from Barcelona International Airport to London St… https://t.co/u8VpV85H0r,ClaimDelay,"Manchester, England"
,RT @KevinPrt44: Pictures of @shakira and her children last saturday afternoon at the exit of Barcelona airport (June 5). #Shakira https://t…,laurotaguerrero,"Miami, FL"
,Flight Number #BA484 From #LHR (London Heathrow) to #BCN (Barcelona Airport) has departed,LHRDepartureBot,
,do I stay in DC for Pride or do I book this ticket rn and head to the airport in 6 hours to travel to Barcelona for Primavera Sound,brainleake,"Washington, DC"
,#Hospital view of #Barcelona #airport...After this #war is over I am taking the first #flight to #Ithaca...#MyLife… https://t.co/nbvjuzbXlW,BcnFox,Barcelona
,Sailed right on past the 500 strong brexit queue in Barcelona airport 🇪🇺✌️,ONOLiathain,London
,"RT @jetfury: Once again #Brexit ruins supreme 
No one to stamp our Carnet at Barcelona Airport 
So we goto hope the Guys at Bristol will un…",peteed,"wicklow , ireland"
,"RT @jetfury: Once again #Brexit ruins supreme 
No one to stamp our Carnet at Barcelona Airport 
So we goto hope the Guys at Bristol will un…",mattsdrums,citizen of the world
,"RT @BdailyNorthEast: .@Ryanair has put new flights on sale to Barcelona and Cork, adding to their other 19 destinations currently available…",flyhellas,Alnwick Northumberland
,"RT @BdailyNorthEast: .@Ryanair has put new flights on sale to Barcelona and Cork, adding to their other 19 destinations currently available…",NCLairport,"Newcastle upon Tyne, UK"
,".@Ryanair has put new flights on sale to Barcelona and Cork, adding to their other 19 destinations currently availa… https://t.co/fVUJgCZr1e",BdailyNorthEast,"North East, England"
,".@Ryanair has put new flights on sale to Barcelona and Cork, adding to their other 19 destinations currently availa… https://t.co/s7OhnDvJ4T",Bdaily,UK
