geo,text,user,user_location
,"Had dreams of travelling to Madrid via (sleeper) train but proving hard to do so in any reasonable time-frame!
Then… https://t.co/3ZOOvdKJQe",Fergus_Walsh,Newcastle-upon-Tyne
,RT @DannyLast: Just dug out another photo I took on the way into Madrid Airport of Atlético Madrid’s old Vicente Calderón Stadium: https://…,antouninho,Al di là. A volte al di sopra.
,RT @RSVPMagazine: 🇪🇸 Spanish airline Iberia has said that thousands of passengers are missing flights due to delays in Madrid's Barajas Air…,Jason_Moore_,Ireland
,@pattyannlowe Just read an article about Ireland and Madrid and airport slowdowns... tsk tsk Trudeau. Did you do that?!? (Sarcasm),marc06rules,
,"RT @AIRCOP_ROPAN: The group @AIRCOP_UNODC GETAA, from the Lima airport, Peru, 🇵🇪 seizes an air mail, from an encyclopedia that hid a multit…",LuisYBurgos,
,RT @RSVPMagazine: 🇪🇸 Spanish airline Iberia has said that thousands of passengers are missing flights due to delays in Madrid's Barajas Air…,qlistings,Worldwide
,The Madrid airport is the most rat fucked thing I’ve ever seen. @Morocco sort this out please thank you…maybe the old fashioned way…,Splootle,Dango
,@steamyporkbuns @adup512 @amyliztweets @sourdoughsays Worst major airport I’ve been to once inside is either Beijin… https://t.co/Yr6EQLH52t,JeremySwirsley,"Seattle, WA"
,"To control surge in tourism, Madrid airport is set to hire new staffs https://t.co/obRtiDB1oz #news",RockCheetah,"Irving, TX"
,"The group @AIRCOP_UNODC GETAA, from the Lima airport, Peru, 🇵🇪 seizes an air mail, from an encyclopedia that hid a… https://t.co/UrWo3sbS7l",AIRCOP_ROPAN,Panamá
,Long lines at Madrid airport prompt hiring spree to deal with tourist surge - https://t.co/Tbzw55TBMS https://t.co/AG8rsmZvsm,Refess,
,"@bmay I went through #Madrid airport yesterday, there was 1 immigration officer covering all non-EU entrants. Brits… https://t.co/FUSmPC8ao6",Harry_Grout_,
,The ASPRID project makes headway in testing system to protect airports from drone incursions -… https://t.co/pTl8Orn4Nk,automobilsport,Spanien/Luxembourg
,"Beluga F-GSTF Took off from Getafe, Madrid, ES. Going to Toulouse/Blagnac, Occitanie, FR (TLS, Toulouse-Blagnac Air… https://t.co/keJDW7VBSc",TransportPlanes,
,RT @RSVPMagazine: 🇪🇸 Spanish airline Iberia has said that thousands of passengers are missing flights due to delays in Madrid's Barajas Air…,DigiGranBiz,"Waterford, Ireland"
,"@MrMKimber Hola, just walked or rather waltzed past you all ;)) But this morning was worse according to… https://t.co/nnSv6sDUD4",JVLazarus,CPH • BCN • En el Camino
,@AerLingus I arrived at the airport in Madrid over two hours before my flight. It took the full two hours for my ba… https://t.co/AYzOGhDvWg,rorsmyth,Cirencester
,easyJet Compensation Alert! Were you scheduled to be on flight U29005 on 8th June 2022 from Madrid Barajas Airport… https://t.co/hjP5HWfSOF,Flight_Patrol,
,"Madrid Airport Plans Hiring Spree to Address Tourism Surge https://t.co/IAubFJP4xn, see more https://t.co/N8GBGODU32",travel_watcher,
,@RealDeniseWelch @jet2tweets WEF don't want us to travel.  Travel affected in Madrid airport too.  Can others confi… https://t.co/8AMn2BCGcF,emptyrm,
,🇪🇸 Spanish airline Iberia has said that thousands of passengers are missing flights due to delays in Madrid's Baraj… https://t.co/gPGmbAQTBR,RSVPMagazine,Ireland
,@Gatwick_Airport - Are there currently check-in delays at the airport? How early should I arrive for 9.00am flight to Madrid?,EconomicsAfrica,
,easyJet claim received. Were you on flight U29005 on 8th June 2022 from Madrid Barajas Airport to London Luton Airp… https://t.co/2KOut2bQBV,ClaimDelay,"Manchester, England"
,Madrid Airport Plans Hiring Spree to Address Tourism Surge https://t.co/QbWfNrqLlP,skift,"New York City, NY"
,Ventilation measures in Madrid airport. https://t.co/HxJCf5Drfp,simehobbs,"Melbourne, Victoria"
,@Iberia This is how my both the bags look like. Kindly float it to Madrid Airport and all other Airports. I need it… https://t.co/0OyZ3FJOPD,ChetanManika,"Hyderabad, India"
,@TalkTV @JuliaHB1 @sajidjavid This is a plan by WEF to stop people travelling.  Madrid Airport has also faced sever… https://t.co/wTEfHE2pxx,emptyrm,
,"#spain @ Hotel
Tryp Madrid Alameda Aeropuerto Hotel find cheap hotels /Staff friendly and all spoke English, pick u… https://t.co/bocWXcGWLo",readtwtr,Worldwide
,"RT @MarkDotPeters5: At Madrid airport stupidly early for a 7.30 flight which will hopefully not get cancelled. 

Back to Bristol and back h…",claimcompanies,
,"At Madrid airport stupidly early for a 7.30 flight which will hopefully not get cancelled. 

Back to Bristol and ba… https://t.co/3UJdPqNAMj",MarkDotPeters5,"Taunton, England"
,RT @inquirerdotnet: Long lines at the Madrid Barajas Airport in recent weeks should ease as the Spanish police work on hiring more staff to…,PHLNewsInsider,
,#aviationdaily Long lines at #Madrid #Airport prompt hiring spree to deal with #tourist surge. Details:… https://t.co/uM8TQAknfu,FlyingFreak73,
,The assumption this is related to domestic policy when airports worldwide are all in the same … errrrr … boat.… https://t.co/SKOMIA5tzr,justmombling,
,@British_Airways hi just asking one question. Is there any visa requirement for transit in Heathrow airport. My dau… https://t.co/tF2VVSYCOz,zai1947,Italy
,@Eddystone506 Just arrived home from Portugal via Madrid. Missed my connection in Madrid due to a 45 minute queue g… https://t.co/foPNx0hnPf,Moleous,Global Itinerant
,Just uploaded a new spotting video - 29 mins of spotting at Madrid Barajas Airport. Enjoy! https://t.co/Wa9vq73BgF,CPlanespotting,Luton/Houghton Regis
,"RT @Elays26915236: 🛂🛃With 200 new workers and more than 600 officials checking the flow of passengers, 🇪🇦Madrid Barajas Airport should be e…",Benjamin_Khalid,
,"🛂🛃With 200 new workers and more than 600 officials checking the flow of passengers, 🇪🇦Madrid Barajas Airport should… https://t.co/VHCi9512gh",Elays26915236,
,RT @BrendyBoyle: It’s not just Dublin airport that’s making a balls of passenger flow: Barajas Madrid and El Prat Barcelona having massive…,Aldamir,Minas Tirith
,Now in the departure lounge at Madrid Airport after 3 intense days of meetings. Wonderful to be in a great European… https://t.co/MVz48Ht39l,simonharries3,"Ely, England"
,"RT @Ray_McCann55: Found a Brexit dividend, you get to chat to people from all over the world whilst standing in the 200m+ queue for passpor…",JespervdenBerg,"Rotterdam, Nederland"
,RT @Reuters: Long lines at Madrid airport prompt hiring spree to deal with tourist surge https://t.co/3ntOPBs0fW https://t.co/2LrgCqAyT1,Carihuela,"Liverpool, England"
,@Concerned4Can @Chantel_Bx0 https://t.co/zlVbGjtKbn mmmm… staffing shortages causing delays outside of Canada… can’t be?,kellskells,
,LIVE MADRID-BARAJAS AIRPORT PLANESPOTTING https://t.co/58NX7auFWS via @YouTube,mikeysj_1996,"Liverpool, England"
,Andy Vermaut shares:Spanish Gov’t Plans Hiring Spree in Order to Deal With Long Waiting Lines at Airports: With 200… https://t.co/939jLpIGNq,AndyVermaut,"Diksmuide, België"
,@garethherincx Nope. I can confirm I have spent around 2hr 30min in #queues at #Madrid #airport in the past 24hrs. Grim.,Sharpe_Tom,"Rotherham and Peterborough, UK"
,"Madrid airport forced on hiring spree to deal with surging tourists

READ MORE: https://t.co/bQQeiiV0QU https://t.co/UXZ0gD8w3H",GhanaTalksRadio,"Accra, Ghana| London, UK"
,@kooswijnands Madrid AirPort https://t.co/Wz1THtXBjn,Amsterd25682803,"Zandvoort, Mokum "
,RT @Flight_Patrol: easyJet Compensation Alert! Were you scheduled to be on flight U26036 from Madrid Barajas Airport to Bristol Airport on…,claimcompanies,
